title,bassett_author,arxiv,doi,no_access,diversity_statement,mm,wm,mw,ww
Non-equilibrium dynamics and entropy production in the human brain,1,2005.02526,0,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [38, 39]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, geographic location, and other factors. Excluding self-citations to the authors of this paper and single-author citations, the first and last authors of references are 58% male/male, 21% female/male, 14% male/female, and 7% female/female. We look forward to future work that could help us better understand how to support equitable practices in science.",58,21,14,7
Opportunities for increased reproducibility and replicability of developmental neuroimaging,0,0,10.1016/j.dcn.2020.100902,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field (Caplar et al., 2017; Dion et al., 2018; Dworkin et al., 2020; Maliniak et al., 2013; Mitchell et al., 2013). Here we obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman (Dworkin et al., 2020; Zhou et al., 2020). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 18.8 % woman(first)/woman(last), 8.1 % man/woman, 17.4 % woman/man, 53.7 % man/man, and 2 % unknown categorization. We look forward to future work that could help us to better understand how to support equitable practices in science.",53.7,17.4,8.1,18.8
"Path-dependent connectivity, not modularity, consistently predicts controllability of structural brain networks",1,0,10.1162/netn_a_00157,0,"Recent work in neuroscience and other fields has identified a bias in citation practices suchthat papers from women and other minorities are under-citedrelative to the number of suchpapers in the field (Caplar, Tacchella, & Birrer,2017;Chakravartty, Kuo, Grubbs, & McIlwain,2018;Dworkin et al.,2020;Maliniak, Powers, & Walter,2013;Thiem, Sealey, Ferrer, Trott, &Kennison,2018). Here we sought to proactively consider choosing references that reflect thediversity of the field in thought, form of contribution, gender, race, geography, and other factors.We used automatic classification of gender based on the first names of the first and last authors(Dworkin et al.,2020), with code freely available athttps://github.com/dalejn/cleanBib. Pos-sible combinations for the first and senior authors include male/male, male/female, female/male, and female/female. After excluding self-citations to the first and senior authors of ourcurrent paper, the references in this work contain 58.6% male/male, 8% male/female, 18.4%female/male, 3.4% female/female, and 11.5% unknown citation categorizations. We look for-ward to future work that could help us better understand how to support equitable practicesin science.",58.6,18.4,8,3.4
Path-dependent Dynamics Induced by Rewiring Networks of Inertial Oscillators,1,arXiv:2009.13466,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [65–70]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman [65, 71]. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 9.4% woman(first)/woman(last), 7.8% man/woman, 15.6% woman/man, 56.2% man/man, and 10.94% unknown categorization. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",56.2,15.6,7.8,9.4
Pinpointing the neural signatures of single-exposure visual familiarity,1,0,10.1101/2020.07.01.182881,0,"Recent work in neuroscience and related fields has identified citation biases wherebywork from women and minorities are under-cited relative to other papers in the field33-35. In crafting this manuscript, we sought to proactively consider citation bias. Following ref. 33, thegender balance of citations was quantifiedbased onthe first names of the first and last authors using open source code36. Excluding self-citations, the references for this manuscript contain59% man/man, 17% man/woman,21% woman/man, and 3% woman/woman citations. Expected proportions estimated from 5 top neuroscience journals (as reported inref.33)are 58.4% man/man, 9.4% man/woman, 25.5% woman/man, and 6.7% woman/woman",59,21,17,3
Racial and ethnic imbalance in neuroscience reference lists and intersections with gender,1,0,10.1101/2020.10.12.336230 ,0,"Recent work in several fields of science has identified a biasin citation practices such that papers from women and otherminority scholars are under-cited relative to the number ofsuch papers in the field (29–33).  Here we sought to proac-tively consider choosing references that reflect the diversityof  the  field  in  thought,  form  of  contribution,  gender,  race,ethnicity, and other factors.  First, we obtained the predictedgender of the first and last author of each reference by us-ing databases that store the probability of a first name beingcarried by a woman (33,35). By this measure (and excludingself-citations to the first and last authors of our current paper),our  references  contain  39.65%  woman(first)/woman(last),11.99%  man/woman,   17.99%  woman/man,   and  30.37%man/man. This method is limited in that a) names, pronouns,and social media profiles used to construct the databases maynot, in every case, be indicative of gender identity and b) itcannot account for intersex, non-binary, or transgender peo-ple.   Second,  we  obtained  the  predicted  racial/ethnic  cate-gory of the first and last author of each reference by usingdatabases that store the probability of a first and last namebeing carried by an author of color (38,39). By this measure(and excluding self-citations), our references contain 12.55%author of color (first)/author of color(last), 17.55% white au-thor/author  of  color,  15.78%  author  of  color/white  author,and 54.12% white author/white author.  This method is lim-ited in that a) names and reported race/ethnicity used to makethe predictions may not be indicative of racial/ethnic identity,and b) it cannot account for Indigenous and mixed-race au-thors,  or those who may face differential biases due to theambiguous racialization or ethnicization of their names.  Welook forward to future work that could help us to better un-derstand how to support equitable pract",30.37,17.99,11.99,39.65
Regional and network neural activity reflect men’s preference for greater socioeconomic status during impression formation,0,0,10.1038/s41598-020-76847-z,0,"Recent work in psychology and neuroscience has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field104,105. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman105,106. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 23.3% woman(first)/woman(last), 12.2% man/woman, 14.4% woman/man, 50% man/man, and 0% unknown categorization. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",50,14.4,12.2,23.3
"Regional structural-functional connectome coupling is heritable and associated with age, sex and cognition in adults",0,0,10.1101/2020.12.09.417725,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other450minorities are under-cited relative to the number of such papers in the field64–68. Here we sought to proactively consider451choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained452predicted gender of the first and last author of each reference by using databases that store the probability of a name being453carried by a woman68. By this measure (and excluding self-citations to the first and last authors of our current paper), our454references contain10.13%woman(first)/woman(last),11.7%man/woman,18.06%woman/man,60.12%man/man. This455method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case,456be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. We look forward to457future work that could help us to better understand how to support equita",60.12,18.06,11.7,10.13
"Relationships between biomechanical parameters, neurological recovery, and neuropathology following concussion in swine",0,0,10.1101/2021.02.09.430268,0,"Because paper citations are considered a metric of scientific impact and because recent work found that citation practices in neuroscience fields can disproportionally cite papers authored by men in first and last author positions (Dworkin et al., 2020), we strove to balance citations within this paper across man (M) and woman (W) first and last authors in proportion to available manuscripts in the neurotrauma discipline. After excluding citations of authors included in this manuscript, 49% were authored by MM (man first author and man last author), 19% were WM, 5% were MW, and 27% were WW. These citation rates are approximately proportional to the available citable papers in this field.",49,19,5,27
"Reporting Grantee Demographics for Diversity, Equity, and Inclusion in Neuroscience",0,0,10.1523/JNEUROSCI.2285-20.2020,0,0,,,,
Representation of Women as Authors of Rheumatology Research Articles,0,0,10.1002/art.41490,0,0,,,,
Segregation of default mode from frontoparietal system protects against smoking lapse,1,0,10.31234/osf.io/ncwef,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field(76-81). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We used automatic classification of gender based on the first names of the first and last authors (79, 82), with possible combinations including male/male, male/female, female/male, and female/female. Excluding self-citations to the first and last authors of our current paper, the references contain38.10 % male/male, 15.87% male/female, 23.81% female/male, 17.46% female/female, and4.76% unknown categorization. We look forward to future work that could help us to better understand how to support equitable practices in science.",38.1,23.81,15.87,17.46
Sex classification using long‐range temporal dependence of resting‐state functional MRI time series,0,0,10.1002/hbm.25030,0,"Recent work in neuroscience and other fields has identified a bias incitation practices such that papers from women and other minoritiesare under-cited relative to the number of such papers in the field(Caplar, Tacchella, & Birrer, 2017; Chakravartty, Kuo, Grubbs, &McIlwain, 2018; Dion, Sumner, & Mitchell, 2018; Dworkinet al., 2020; Maliniak, Powers, & Walter, 2013; Thiem, Sealey, Ferrer,Trott, & Kennison, 2018). Here we sought to proactively considerchoosing references that reflect the diversity of the field in thought,form of contribution, gender, and other factors. We used classificationof gender based on the first names of the first and last authors(Dworkin et al., 2020), with possible combinations including male/male, male/female, female/male, and female/female. Excluding self-citations to the first and last authors of our current article, the refer-ences contain 59.6% male/male, 12.8% male/female, 19.1% female/male, and 8.5% female/female. We look forward to future work thatcould help us to better understand how to support equitable practicesin science",59.6,19.1,12.8,8.5
Shared functional connections within and between cortical networks predict individual cognitive abilities in males and females,0,0,10.1101/2021.02.17.431670,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field (Caplar, Tacchella, & Birrer, 2017; Chakravartty, Kuo, Grubbs, & McIlwain, 2018; Dion, Sumner, & Mitchell, 2018; Dworkin et al., 2020; Maliniak, Powers, & Walter, 2013; Thiem, Sealey, Ferrer, Trott, & Kennison, 2018). Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We used classification of gender based on the first names of the first and last authors (Dworkin et al., 2020), with possible combinations including male/male, male/female, female/male, and female/female. Excluding self-citations to the first and last authors of our current paper, the references contain 50.0% male/male, 17.6% male/female, 16.2% female/male, and 16.2% female/female. We look forward to future work that could help us to better understand how to support equitable practices in science.",50,16.2,17.6,16.2
"Some considerations for studying gender, mentorship, and scientific impact: commentary on AlShebli, Makovi, and Rahwan (2020)",0,0,10.31219/osf.io/ybfk6,0,0,,,,
Statement from the Incoming Editor-in-Chief,0,0,10.1162/jocn_a_01650,0,0,,,,
Structural control energy of resting-state functional brain states reveals inefficient brain dynamics in psychosis vulnerability,1,0,10.1002/hbm.25358,0,"Recent work in several fields of science has identified a bias in citationpractices such that papers from women and other minorities areunder-cited relative to the number of such articles in the field (Caplar,Tacchella, & Birrer, 2017; Dion, Sumner, & Mitchell, 2018; Dworkinet al., 2020; Maliniak, Powers, & Walter, 2013; Mitchell, Lange, &Brus, 2013). Here, we sought to proactively consider choosing refer-ences that reflect the diversity of the field in thought, form of contri-bution, gender, and other factors. We obtained predicted gender ofthe first and last author of each reference by using databases thatstore the probability of a name being carried by a woman (Dworkinet al., 2020; Zhou et al., 2020). By this measure (and excluding self-citations to the first and last authors of our current article), our refer-ences contain 18.29% woman(first)/woman(last), 19.05% man/-woman, 17.12% woman/man, and 45.54% man/man. Second, weobtained predicted racial/ethnic category of the first and last authorof each reference by databases that store the probability of a first andlast name being carried by an author of color (Ambekar, Ward,Mohammed, Male, & Skiena, 2009; Sood & Laohaprapanon, 2018). Bythis measure (and excluding self-citations), our references contain12.05% author of color (first)/author of color(last), 17.35% whiteauthor/author of color, 21.26% author of color/white author, and49.35% white author/white author. This method is limited in that(a) names and Florida Voter Data to make the predictions may not beindicative of racial/ethnic identity and (b) it cannot account for Indige-nous and mixed-race authors, or those who may face differentialbiases due to the ambiguous racialization or ethnicization of theirnames. We look forward to future work that could help us to betterunderstand how to support equitable practices in science.",45.54,17.12,19.05,18.29
Temporal sequences of brain activity at rest are constrained by white matter structure and modulated by cognitive demands,1,0,10.1038/s42003-020-0961-x,0,"Recent work in neuroscience85and otherfields86–89hasidentified a bias in citation practices such that papers from women and otherminorities are under-cited relative to the number of such papers in thefield. Herewe sought to proactively consider choosing references that reflect the diversity ofthefield in thought, form of contribution, gender, and other factors. We usedautomatic classification of gender based on thefirst names of thefirst and lastauthors85,90, with possible combinations including male/male, male/female, female/male, and female/female. Excluding self-citations to thefirst and last authors of ourcurrent paper, the references contain 56.94% male/male, 11.11% male/female,19.44% female/male, and 8.33% female/female. Relative to the expected propor-tions in thefield of neuroscience, we over-cited or under-cited these categories bythe following ratios:−2.49% male/male, 18.20% male/female,−23.75% female/male, and 24.38% female/female. We look forward to future work that could helpus to better understand how to support equitable practices in science.",56.94,19.44,11.11,8.33
"The 100,000 most influential scientists rank: the underrepresentation of Brazilian women in academia.",0,0,10.1101/2020.12.22.423872,0,0,,,,
"The citation diversity statement: a practice of transparency, a way of life",1,0,10.1016/j.tics.2020.06.009,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [2., 3., 4., 5., 6.]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a man or a woman [4]i. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 42.9% woman(first)/woman(last), 28.6% man/woman, 7.1% woman/man, and 21.4% man/man. This method is limited in that: (i) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity, and (ii) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",21.4,7.1,28.6,42.9
The effect of mentee and mentor gender on scientific productivity of applicants for NIH training fellowships,0,0,10.1101/2021.02.02.429450,0,0,,,,
The growth and form of knowledge networks by kinesthetic curiosity,1,0,10.1016/j.cobeha.2020.09.007,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [106, 107, 108, 109, 110]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman [110,111]. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 13.5% woman/woman, 21.3% woman/man, 12.4% man/woman, and 52.8% man/man. This method is limited in that (a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and (b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",52.8,21.3,12.4,13.5
The network structure of scientific revolutions,0,arXiv:2010.08381,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minority scholars are under-cited relative to the number of such papers in the field (45–48). Here, we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, ethnicity, and other factors. First, we obtained the predicted gender of the first and last author of each reference by using databases that store the probability of a first name being carried by a woman (5, 6). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 25.53% woman(first)/woman(last), 9.09% man/woman, 10.64% woman/man, and 54.74% man/man. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. Second, we obtained predicted racial/ethnic category of the first and last author of each reference by databases that store the probability of a first and last name being carried by an author of color (49, 50). By this measure (and excluding self-citations), our references contain 5.06% author of color (first)/author of color(last), 15.64% white author/author of color, 16.35% author of color/white author, and 62.95% white author/white author. This method is limited in that a) names, Census entries, and Wikipedia profiles used to make the predictions may not be indicative of racial/ethnic identity, and b) it cannot account for Indigenous and mixed-race authors, or those who may face differential biases due to the ambiguous racialization or ethnicization of their names. We look forward to future work that could help us to better understand how to support equitable practices in science.",54.74,10.64,9.09,25.53
"The why, how, and when of representations for complex systems",1,arXiv:2006.02870,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field [63, 121, 34, 38, 198, 59].Here we sought to proactively consider choosing references that reflect the diversity of the field in thought,form of contribution, gender, and other factors. Gender bias can arise due to explicit and implicit bias against a person’s known gender as a woman, or due to explicit or implicit bias against a person carrying a name commonly used by women [118, 146, 131]. To evaluate the former (bias according to known gender),we obtained predicted gender of the first and last author of each reference using pronouns affiliated with them online or pronouns known by personal friendships; by this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 45% man(first)/man(last), 12%man/woman, 11% woman/man, 13% woman/woman, 0% non-binary , and 19% unknown categorization.This method is limited in that pronouns may not be indicative of gender identity, and may not be consistent across time or environment. To evaluate the latter (bias according to a gendered name), we used databases that store the probability of a name being carried by a woman; by this measure (again excluding self-citations), our references contains 60% man/man names, 12% man/woman names, 11% woman/man names,10% woman/woman names, and 7% unknown categorization [217, 63]. This method is limited in that it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",45,11,12,13
Time-evolving controllability of effective connectivity networks during seizure progression,1,0,10.1073/pnas.2006436118,0,"Recent work in several fields of science has identified abias in citation practices such that papers from women and other minoritiesare undercited relative to the number of such papers in the field (53–57).Here we sought to proactively consider choosing references that reflect thediversity of the field in thought, form of contribution, gender, and otherfactors. We obtained predicted gender of the first and last author of eachreference by using databases that store the probability of a name being car-ried by a woman (57, 58). By this measure (and excluding self-citations to thefirst and last authors of our current paper), our references contain 22.92%woman(first)/woman(last),  26.05%  man/woman,  6.67%  woman/man,  and44.36% man/man. This method is limited in that 1) names, pronouns, andsocial media profiles used to construct the databases may not, in every case,be indicative of gender identity and 2) it cannot account for intersex, non-binary, or transgender people. Second, we obtained predicted racial/ethniccategory of the first and last author of each reference by databases thatstore the probability of a first and last name being carried by an author ofcolor (59, 60). By this measure (and excluding self-citations), our referencescontain  9.29%  author  of  color  (first)/author  of  color(last),  12.25%  whiteauthor/author of color, 23.54% author of color/white author, and 54.92%white author/white author. This method is limited in that 1) names, Cen-sus entries, and Wikipedia profiles used to make the predictions may notbe indicative of racial/ethnic identity and 2) it cannot account for Indige-nous and mixed-race authors or those who may face differential biases dueto the ambiguous racialization or ethnicization of their names. We look for-ward to future work that could help us to better understand how to supportequitable practices in",44.36,6.67,26.05,22.92
Topology in Biology,1,0,10.1007/978-3-319-70658-0_87-1,0,"Recent work in other fields has identified a bias in citations such that papers from women and other minorities are undercited relative to the number of such papers in the field (Caplar et al., 2017; Chakravartty et al., 2018; Dion et al., 2018; Dworkin et al., 2020; Maliniak et al., 2013; Thiem et al., 2018). Unfortunately, the fields where this citation bias has been studied do not include applied mathematics, and therefore we do not have a way to determine whether the percentages found in our paper are reflective of the field or biased in some way. Nevertheless, we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. Our current paper contains references that are (first author)-(last author) approximately 60% man-man, 12% man-woman, 11% woman-man, and 14% woman-woman, after excluding self-citations. We look forward to future work that could help us to better understand how to support equitable practices in applied mathematics.",60,11,12,14
"Towards precise resting-state fMRI biomarkers in psychiatry: synthesizing developments in transdiagnostic research, dimensional models of psychopathology, and normative neurodevelopment",1,0,10.1016/j.conb.2020.10.016,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minority scholars are undercited relative to the number of such papers in the field [67, 68, 69, 70, 71]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, ethnicity, and other factors. First, we obtained the predicted gender of the first and last author of each reference by using databases that store the probability of a first name being carried by a woman [71,72]. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 8.7% woman(first)/woman(last), 16.13% man/woman, 18.72% woman/man, and 56.45% man/man. This method is limited in that (a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and (b) it cannot account for intersex, non-binary, or transgender people. Second, we obtained predicted racial/ethnic category of the first and last author of each reference by databases that store the probability of a first and last name being carried by an author of color [73,74]. By this measure (and excluding self-citations), our references contain 14.03% author of color (first)/author of color(last), 19.37% white author/author of color, 16.58% author of color/white author, and 50.02% white author/white author. This method is limited in that (a) names and Wikipedia profiles used to make the predictions may not be indicative of racial/ethnic identity, and (b) it cannot account for Indigenous and mixed-race authors, or those who may face differential biases due to the ambiguous racialization or ethnicization of their names. We look forward to future work that could help us to better understand how to support equitable practices in science.",56.45,18.72,16.13,8.7
Transdiagnostic dimensions of psychopathology explain individuals' unique deviations from normative neurodevelopment in brain structure,1,0,10.1101/2020.06.11.147009,0,"Recent work in neuroscience and other fields has identified a bias in citation practices such that papers from women and other minorities are under-cited relative to the number of such papers in the field (58–61). We sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, and other factors. We obtained predicted gender of the first and last author of each reference by using databases that store the probability of a name being carried by a woman (58,62). By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 9.3% woman(first)/woman(last), 14% man/woman, 23.3% woman/man, 46.5% man/man, and 6.98% unknown categorization. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people. We look forward to future work that could help us to better understand how to support equitable practices in science.",46.5,23.3,14,9.3
Understanding Image Memorability,0,0,10.1016/j.tics.2020.04.001,0,"Recent work in neuroscience and related fields has identified citation biases whereby work from women and minorities are undercited relative to other papers in the field [70., 71., 72.]. In crafting this manuscript, we sought to proactively consider citation bias. Following on [70], the gender balance of citations was quantified from the first names of the first and last authors using open source code [73]. Excluding self-citations, the references for this manuscript contain 50.0% man/man, 15.1% man/woman, 21.2% woman/man, and 13.6% woman/woman citations. Expected proportions estimated from five top neuroscience journals, as reported in [70], are 58.4% man/man, 9.4% man/woman, 25.5% woman/man, and 6.7% woman/woman.",50,21.2,15.1,13.6
Variability in higher order structure of noise added to weighted networks,1,arXiv:2101.03933 ,0,0,"Recent work in several fields of science has identified a bias in citation practices such that papers from women and other minority scholars are under-cited relative to the number of such papers in the field [38, 36, 9, 16, 17]. Here we sought to proactively consider choosing references that reflect the diversity of the field in thought, form of contribution, gender, race, ethnicity, and other factors. First, we obtained the predicted gender of the first and last author of each reference by using databases that store the probability of a first name being carried by a woman [17, 64]. By this measure (and excluding self-citations to the first and last authors of our current paper), our references contain 14.79% woman(first)/woman(last), 6.37% man/woman, 23.63% woman/man, and 55.22% man/- man. This method is limited in that a) names, pronouns, and social media profiles used to construct the databases may not, in every case, be indicative of gender identity and b) it cannot account for intersex, non-binary, or transgender people.",55.22,23.63,6.37,14.79
Women in immunology: 2020 and beyond,0,0,10.1038/s41590-020-0618-4,0,0,,,,
